"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x98","0x8","char *","char *","filename_strptr",""
"0xa0","0x38","astruct_7","astruct_7","artist_struct","Created by retype action"
"0xd8","0x38","astruct_7","astruct_7","album_struct","Created by retype action"
"0x110","0x1","??","undefined","",""
"0x111","0x1","??","undefined","",""
"0x112","0x1","??","undefined","",""
"0x113","0x1","??","undefined","",""
"0x114","0x1","??","undefined","",""
"0x115","0x1","??","undefined","",""
"0x116","0x1","??","undefined","",""
"0x117","0x1","??","undefined","",""
"0x118","0x38","astruct_7","astruct_7","albumartist_struct","Created by retype action"
"0x150","0x38","astruct_7","astruct_7","genre_struct","Created by retype action"
"0x188","0x38","astruct_7","astruct_7","artist_2_struct","Created by retype action"
"0x1c0","0x2","dw","word","",""
"0x1c2","0x1","??","undefined","",""
"0x1c3","0x1","??","undefined","",""
"0x1c4","0x2","dw","word","",""
"0x1c6","0x1","??","undefined","",""
"0x1c7","0x1","??","undefined","",""
"0x1c8","0x8","char *","char *","",""
"0x1d0","0x8","char *","char *","",""
"0x1d8","0x8","dq","qword","",""
"0x1e0","0x38","astruct_7","astruct_7","unknown_letter_1","Created by retype action"
"0x218","0x4","ddw","dword","track_number",""
"0x21c","0x1","??","undefined","",""
"0x21d","0x1","??","undefined","",""
"0x21e","0x1","??","undefined","",""
"0x21f","0x1","??","undefined","",""
"0x220","0x8","char *","char *","unknown_letter2",""
"0x228","0x38","astruct_7","astruct_7","color_struct","Created by retype action"
